"Lauf","Altersklasse","Disziplin","Bahn 1","Bahn 2","Bahn 3","Bahn 4","Bahn 5","Bahn 6","Bahn 7","Bahn 8"
"1","Offen m","4*50m Hindernisstaffel","","","Langenberg","Schleswig-Holstein 1","Goslar","Halle-Saalekreis 3","",""
"","","","","","DLRG Langenberg","DLRG Schleswig-Holstein","DLRG Goslar","DLRG Halle-Saalekreis","",""
"2","Offen m","4*50m Hindernisstaffel","Schleswig-Holstein 2","Beckum-Lippetal 2","Luckenwalde","Halle-Saalekreis 1","Rheda-Wiedenbrück","Anklam","Altona","Halle-Saalekreis 2"
"","","","DLRG Schleswig-Holstein","DLRG Beckum-Lippetal","DLRG Luckenwalde","DLRG Halle-Saalekreis","DLRG Rheda-Wiedenbrück","DLRG Anklam","DLRG Altona","DLRG Halle-Saalekreis"
"3","Offen w","4*50m Hindernisstaffel","Leer 2","Altona 2","Beckum-Lippetal 3","Halberstadt","Altona 1","Leer 1","Halle-Saalekreis 3","Magdeburg"
"","","","DLRG Leer","DLRG Altona","DLRG Beckum-Lippetal","DLRG Halberstadt","DLRG Altona","DLRG Leer","DLRG Halle-Saalekreis","DLRG Magdeburg"
"4","Offen w","4*50m Hindernisstaffel","Schleswig-Holstein 1","Anklam","Schleswig-Holstein 3","Beckum-Lippetal 1","Halle-Saalekreis 1","Schleswig-Holstein 2","Halle-Saalekreis 2","Luckenwalde"
"","","","DLRG Schleswig-Holstein","DLRG Anklam","DLRG Schleswig-Holstein","DLRG Beckum-Lippetal","DLRG Halle-Saalekreis","DLRG Schleswig-Holstein","DLRG Halle-Saalekreis","DLRG Luckenwalde"
"5","Offen m","4*25m Puppenstaffel","","","Langenberg","Schleswig-Holstein 2","Altona","Halle-Saalekreis 3","",""
"","","","","","DLRG Langenberg","DLRG Schleswig-Holstein","DLRG Altona","DLRG Halle-Saalekreis","",""
"6","Offen m","4*25m Puppenstaffel","Goslar","Anklam","Luckenwalde","Halle-Saalekreis 1","Rheda-Wiedenbrück","Beckum-Lippetal 2","Halle-Saalekreis 2","Schleswig-Holstein 1"
"","","","DLRG Goslar","DLRG Anklam","DLRG Luckenwalde","DLRG Halle-Saalekreis","DLRG Rheda-Wiedenbrück","DLRG Beckum-Lippetal","DLRG Halle-Saalekreis","DLRG Schleswig-Holstein"
"7","Offen w","4*25m Puppenstaffel","Halle-Saalekreis 3","Altona 2","Halberstadt","Altona 1","Leer 1","Anklam","Leer 2","Magdeburg"
"","","","DLRG Halle-Saalekreis","DLRG Altona","DLRG Halberstadt","DLRG Altona","DLRG Leer","DLRG Anklam","DLRG Leer","DLRG Magdeburg"
"8","Offen w","4*25m Puppenstaffel","Luckenwalde","Halle-Saalekreis 2","Schleswig-Holstein 1","Beckum-Lippetal 1","Halle-Saalekreis 1","Schleswig-Holstein 3","Schleswig-Holstein 2","Beckum-Lippetal 3"
"","","","DLRG Luckenwalde","DLRG Halle-Saalekreis","DLRG Schleswig-Holstein","DLRG Beckum-Lippetal","DLRG Halle-Saalekreis","DLRG Schleswig-Holstein","DLRG Schleswig-Holstein","DLRG Beckum-Lippetal"
"9","Offen m","4*50m Gurtretterstaffel","","","Langenberg","Anklam","Halle-Saalekreis 2","Halle-Saalekreis 3","",""
"","","","","","DLRG Langenberg","DLRG Anklam","DLRG Halle-Saalekreis","DLRG Halle-Saalekreis","",""
"10","Offen m","4*50m Gurtretterstaffel","Schleswig-Holstein 1","Beckum-Lippetal 2","Luckenwalde","Halle-Saalekreis 1","Rheda-Wiedenbrück","Altona","Schleswig-Holstein 2","Goslar"
"","","","DLRG Schleswig-Holstein","DLRG Beckum-Lippetal","DLRG Luckenwalde","DLRG Halle-Saalekreis","DLRG Rheda-Wiedenbrück","DLRG Altona","DLRG Schleswig-Holstein","DLRG Goslar"
"11","Offen w","4*50m Gurtretterstaffel","Halle-Saalekreis 3","Altona 2","Halberstadt","Beckum-Lippetal 3","Altona 1","Anklam","Leer 2","Magdeburg"
"","","","DLRG Halle-Saalekreis","DLRG Altona","DLRG Halberstadt","DLRG Beckum-Lippetal","DLRG Altona","DLRG Anklam","DLRG Leer","DLRG Magdeburg"
"12","Offen w","4*50m Gurtretterstaffel","Leer 1","Halle-Saalekreis 2","Schleswig-Holstein 3","Beckum-Lippetal 1","Halle-Saalekreis 1","Schleswig-Holstein 1","Schleswig-Holstein 2","Luckenwalde"
"","","","DLRG Leer","DLRG Halle-Saalekreis","DLRG Schleswig-Holstein","DLRG Beckum-Lippetal","DLRG Halle-Saalekreis","DLRG Schleswig-Holstein","DLRG Schleswig-Holstein","DLRG Luckenwalde"
